x_id,subject,subject_type,relation,y_id,object,object_type,source
74,superior cervical ganglion,instrument,is,75,sympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
76,lacrimal gland,instrument,is,75,sympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
76,lacrimal gland,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
65,lacrimal nerve,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
78,pterygopalatine ganglion,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
68,greater petrosal nerve,instrument,is,79,preganglionic parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
70,facial nerve,instrument,is,79,preganglionic parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
80,superior and inferior puncta,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
82,superior and inferior lacrimal canaliculi,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
83,lacrimal sac,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
71,nasolacrimal duct,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
72,inferior concha of the nose,instrument,is,71,nasolacrimal duct,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
73,inferior opening,instrument,is,71,nasolacrimal duct,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
74,superior cervical ganglion,instrument,is,75,sympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
76,lacrimal gland,instrument,is,75,sympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
76,lacrimal gland,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
65,lacrimal nerve,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
78,pterygopalatine ganglion,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
68,greater petrosal nerve,instrument,is,79,preganglionic parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
70,facial nerve,instrument,is,79,preganglionic parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
80,superior and inferior puncta,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
82,superior and inferior lacrimal canaliculi,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
83,lacrimal sac,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
71,nasolacrimal duct,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
72,inferior concha of the nose,instrument,is,71,nasolacrimal duct,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
73,inferior opening,instrument,is,71,nasolacrimal duct,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
74,superior cervical ganglion,instrument,is,75,sympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
76,lacrimal gland,instrument,is,75,sympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
76,lacrimal gland,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
65,lacrimal nerve,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
78,pterygopalatine ganglion,instrument,is,77,parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
68,greater petrosal nerve,instrument,is,79,preganglionic parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
70,facial nerve,instrument,is,79,preganglionic parasympathetic fibers,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
80,superior and inferior puncta,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
82,superior and inferior lacrimal canaliculi,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
83,lacrimal sac,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
71,nasolacrimal duct,instrument,is,81,lacrimal fluid,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
84,ankyloglossia,disease,disease_caused_disease,85,congenital anomaly,disease,niu_._P4_and_2_p2_131.txt_chunk_33
86,visual field examination,examination,is,87,lesions of the visual pathway,disease,niu_._P4_and_2_p2_131.txt_chunk_336
88,internuclear ophthalmoplegia,disease,disease_caused_disease,89,multiple sclerosis,disease,niu_._P4_and_2_p2_131.txt_chunk_347
88,internuclear ophthalmoplegia,disease,disease_caused_disease,90,diminished blood flow,disease,niu_._P4_and_2_p2_131.txt_chunk_347
91,medial longitudinal fasciculus (mlf),instrument,is,92,oculomotor nuclei,disease,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,treatment,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,disease,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,instrument,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,examination,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,medicine,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,symptom,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,prevention,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,usage,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,frequency,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,oral part,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,prevention,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,usage,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,frequency,niu_._P4_and_2_p2_131.txt_chunk_347
93,area 8 (frontal gaze center),population,is,94,none,oral part,niu_._P4_and_2_p2_131.txt_chunk_347
95,foramen cecum,clinical manifestations,is,96,lateral neck cysts,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_35
97,hyoid bifurcation,clinical manifestations,is,98,thyroid cartilage,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_35
96,lateral neck cysts,disease,is,99,anomalous remnants of ductal portions of cervical sinus,causes,niu_._P4_and_2_p2_131.txt_chunk_35
100,median cysts and fistulas,disease,is,101,remnants of pyroglossal duct,causes,niu_._P4_and_2_p2_131.txt_chunk_35
102,lateral (membranous) wall,oral part,is,103,external ear,population,niu_._P4_and_2_p2_131.txt_chunk_354
104,stromodeum,clinical manifestations,is,105,"precursor of the mouth, oral cavity, and the anterior pituitary gland",disease,niu_._P4_and_2_p2_131.txt_chunk_36
106,lesser wings of the sphenoid bone,materials,is,107,skull base,description,niu_._P4_and_2_p2_131.txt_chunk_49
108,tympanic membrane,clinical manifestations,is,109,lateral view,description,niu_._P4_and_2_p2_131.txt_chunk_54
110,zygoma fracture,disease,disease_has_clinical manifestations,111,"pain, facial bruising and swelling, a flattened malar eminence, diplopia (double vision), trismus (lock jaw), and altered mastication (due to masseteric spasm or interference of the normal mechanism of the coronoid process by bony fragments), loss of sensation below the orbit (due to infraorbital nerve involvement), and ipsilateral epistaxis (nosebleed) (due to laceration of the mucosa of the maxillary sinus)",clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_58
112,mandibular fracture,disease,disease_has_clinical manifestations,113,"swelling, tenderness, or step deformities",clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_64
114,carotid bruit,symptom,is,115,carotid artery stenosis,disease,niu_._P4_and_2_p2_131.txt_chunk_73
116,corticosteroids,medicine,medicine_treats_disease,117,temporal arteritis,disease,niu_._P4_and_2_p2_131.txt_chunk_83
118,spinal cord,disease,is,119,thoracic aorta,instrument,niu_._P4_and_2_p2_132.txt_chunk_137
120,cardiovascular collapse,disease,disease_caused_disease,121,allergy to local anesthetic,disease,niu_._P4_and_2_p2_132.txt_chunk_184
120,cardiovascular collapse,disease,disease_caused_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
120,cardiovascular collapse,disease,disease_caused_disease,123,acute pulpitis or apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,121,allergy to local anesthetic,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,120,cardiovascular collapse,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,123,acute pulpitis or apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_side-effect_disease,120,cardiovascular collapse,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_side-effect_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_side-effect_disease,123,acute pulpitis or apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_treats_disease,120,cardiovascular collapse,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_treats_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_treats_disease,123,acute pulpitis or apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,120,cardiovascular collapse,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_contraindication_disease,123,acute pulpitis or apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_side-effect_disease,120,cardiovascular collapse,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_side-effect_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_side-effect_disease,123,acute pulpitis or apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_184
124,local anesthetic,medicine,medicine_treats_disease,122,failure of anesthesia,disease,niu_._P4_and_2_p2_132.txt_chunk_184
125,acute pulpitis,disease,disease_caused_disease,126,apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_185
124,local anesthetic,medicine,medicine_contraindication_disease,126,apical abscess,disease,niu_._P4_and_2_p2_132.txt_chunk_185
124,local anesthetic,medicine,medicine_contraindication_disease,125,acute pulpitis,disease,niu_._P4_and_2_p2_132.txt_chunk_185
127,hematoma,symptom,is,128,this injection,medicine,niu_._P4_and_2_p2_132.txt_chunk_189
129,maxillary premolars,clinical manifestations,is,130,periodontal ligaments,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
129,maxillary premolars,clinical manifestations,is,131,buccal gingiva,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
129,maxillary premolars,clinical manifestations,is,132,mucosa,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
129,maxillary premolars,clinical manifestations,is,133,supporting bone,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
134,canine,clinical manifestations,is,135,mesiobuccal cusp of the 1st molar,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
134,canine,clinical manifestations,is,130,periodontal ligaments,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
134,canine,clinical manifestations,is,131,buccal gingiva,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
134,canine,clinical manifestations,is,132,mucosa,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
134,canine,clinical manifestations,is,133,supporting bone,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,137,posterior superior alveolar nerve,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,138,infraorbital nerve,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,139,infraorbital canal,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,140,foramina,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,130,periodontal ligaments,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,131,buccal gingiva,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,132,mucosa,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
136,maxillary molars,clinical manifestations,is,133,supporting bone,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
141,distance,clinical manifestations,is,142,mucobuccal fold,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
141,distance,clinical manifestations,is,143,apices of tile maxillary molars,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
141,distance,clinical manifestations,is,144,lower margin of the zygomatic arch,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
141,distance,clinical manifestations,is,145,maxillary sinus,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
141,distance,clinical manifestations,is,146,buccal and palatal roots,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
147,failure,clinical manifestations,is,148,buccal infiltration injection,clinical manifestations,niu_._P4_and_2_p2_132.txt_chunk_191
149,maxillary division block,treatment,treatment_has_description,150,advanced local anesthetic technique,description,niu_._P4_and_2_p2_132.txt_chunk_194
151,inferior alveolar nerve block,treatment,treatment_has_description,152,injection technique,description,niu_._P4_and_2_p2_132.txt_chunk_203
153,akinosi block,treatment,is,151,inferior alveolar nerve block,treatment,niu_._P4_and_2_p2_132.txt_chunk_204
152,injection technique,description,is,154,supplementary sublingual nerve infiltration,description,niu_._P4_and_2_p2_132.txt_chunk_206
155,c5 compression,disease,medicine_contraindication_disease,156,total dysfunction,medicine,niu_._P4_and_2_p2_132.txt_chunk_290
157,trigeminal neuralgia,disease,disease_caused_disease,158,atypical trigeminal neuralgia,disease,niu_._P4_and_2_p2_132.txt_chunk_303
159,alzheimer disease,disease,disease_caused_disease,160,abducent nerve palsy,disease,niu_._P4_and_2_p2_132.txt_chunk_325
161,caries,disease,disease_has_clinical manifestations,162,on bitewing radiograph,examination,niu_._P4_and_2_p2_132.txt_chunk_337
163,rheumatoid arthritis,disease,disease_caused_disease,164,scalp infections,disease,niu_._P4_and_2_p2_132.txt_chunk_341
163,rheumatoid arthritis,disease,disease_caused_disease,21,scalp lacerations,disease,niu_._P4_and_2_p2_132.txt_chunk_341
163,rheumatoid arthritis,disease,disease_caused_disease,165,scoliosis,disease,niu_._P4_and_2_p2_132.txt_chunk_341
163,rheumatoid arthritis,disease,disease_caused_disease,166,sensorineural deafness,disease,niu_._P4_and_2_p2_132.txt_chunk_341
163,rheumatoid arthritis,disease,disease_caused_disease,167,scotomas,disease,niu_._P4_and_2_p2_132.txt_chunk_341
168,ruptured cerebral aneurysm,disease,disease_caused_disease,169,vertigo,disease,niu_._P4_and_2_p2_132.txt_chunk_341
168,ruptured cerebral aneurysm,disease,disease_caused_disease,170,vestibular nystagmus,disease,niu_._P4_and_2_p2_132.txt_chunk_341
168,ruptured cerebral aneurysm,disease,disease_caused_disease,171,punched-out lesions in skull,disease,niu_._P4_and_2_p2_132.txt_chunk_341
168,ruptured cerebral aneurysm,disease,disease_caused_disease,172,quadrantanopia,disease,niu_._P4_and_2_p2_132.txt_chunk_341
168,ruptured cerebral aneurysm,disease,disease_caused_disease,173,retinal detachment,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,175,arterioarterial emboli,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,176,aphasia,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,177,argyll-robertson pupil,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,178,astigmatism,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,179,aperoma,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,178,astigmatism,disease,niu_._P4_and_2_p2_132.txt_chunk_341
174,aortic aneurysm,disease,disease_caused_disease,179,aperoma,disease,niu_._P4_and_2_p2_132.txt_chunk_341
180,ptosis,disease,disease_caused_disease,181,inflammation of (conjunctivitis),disease,niu_._P4_and_2_p2_132.txt_chunk_341
180,ptosis,disease,disease_caused_disease,171,punched-out lesions in skull,disease,niu_._P4_and_2_p2_132.txt_chunk_341
180,ptosis,disease,disease_caused_disease,172,quadrantanopia,disease,niu_._P4_and_2_p2_132.txt_chunk_341
180,ptosis,disease,disease_caused_disease,173,retinal detachment,disease,niu_._P4_and_2_p2_132.txt_chunk_341
180,ptosis,disease,disease_caused_disease,163,rheumatoid arthritis,disease,niu_._P4_and_2_p2_132.txt_chunk_341
182,recurrent laryngeal nerve injury,disease,disease_caused_disease,183,recurrent laryngeal nerve palsy,disease,niu_._P4_and_2_p2_132.txt_chunk_341
182,recurrent laryngeal nerve injury,disease,disease_caused_disease,173,retinal detachment,disease,niu_._P4_and_2_p2_132.txt_chunk_341
182,recurrent laryngeal nerve injury,disease,disease_caused_disease,163,rheumatoid arthritis,disease,niu_._P4_and_2_p2_132.txt_chunk_341
183,recurrent laryngeal nerve palsy,disease,disease_caused_disease,173,retinal detachment,disease,niu_._P4_and_2_p2_132.txt_chunk_341
